dpto_ccdgo;mpio_ccdgo;mpio_cdpmp;clas_ccdgo;setr_ccdgo;setr_ccnct;secr_ccdgo;secr_ccnct;zu_ccdgo;zu_cdivi;setu_ccdgo;setu_ccnct;secu_ccdgo;secu_ccnct;manz_ccdgo;manz_ccnct;manz_cag;tipo_ctstr;cod_ctstr;manz_nano;manz_nid;manz_nfe;manz_tipo;fuen_actlz;tipo_imgn;ano_fuente;tipo_actlz;ano_actlz;revi_campo;manz_narea;manz_lati;manz_long;shape_Leng;MANZ_VIV;FT_ACT_VIV;Shape_Le_1;Shape_Area;ID_unico;sum_22HOM;sum_23HOM;sum_24HOM;sum_25HOM;sum_22LP;sum_23LP;sum_24LP;sum_25LP;sum_22VI;sum_23VI;sum_24VI;sum_25VI;sum_22DS;sum_23DS;sum_24DS;sum_25DS;sum_22HP;sum_23HP;sum_24HP;sum_25HP;sum_22HR;sum_23HR;sum_24HR;sum_25HR;sum_22HC;sum_23HC;sum_24HC;sum_25HC;sum_22HA;sum_23HA;sum_24HA;sum_25HA;sum_22HM;sum_23HM;sum_24HM;sum_25HM;sum_22SS;sum_23SS;sum_24SS;sum_25SS;sum_22SE;sum_23SE;sum_24SE;sum_25SE;sum_22EX;sum_23EX;sum_24EX;sum_25EX;sum_22TR;sum_23TR;sum_24TR;sum_25TR;geom;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;564;88564;1;0;885641000;0;88564100000;0;88564000;1;8.85641E+17;2;8.85641E+19;3;8.85641E+21;962119;IGAC;0;2023;NA;NA;NA;NA;NA;0;NA;0;NA;6112.343988;13.38149387;-81.36923973;0.002949348;8;VIV_CNPV2018;0.002949349;5.02E-07;6914;0;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;list(c(-81.3693505003253;-81.36938224;-81.36939218;-81.36950758;-81.3695307;-81.36958272;-81.36960038;-81.36959123;-81.36915777;-81.36914234;-81.36910308;-81.36908285;-81.36900552;-81.36898529;-81.36892917;-81.36884812;-81.36904769;-81.36908366;-81.36910321;-81.36913268;-81.3693505;13.38097602;13.38096389;13.38096008;13.38126941;13.38136897;13.38159308; ;
13.38166916;13.38167771;13.3820822;13.38208914;13.3820939;13.3820701;13.38180598;13.38143954;13.38133945;13.38119492;13.38109641;13.38108211;13.38107434;13.38106262; 13.3809760241243));;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;564;88564;1;0;885641000;0;88564100000;0;88564000;1;8.85641E+17;2;8.85641E+19;34;8.85641E+21;193146;IGAC;0;2023;NA;NA;NA;NA;NA;0;NA;0;NA;66768.62297;13.36945681;-81.36212961;0.019489477;23;VIV_CNPV2018;0.019489478;5.49E-06;6915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;list(c(-81.3612102256714;-81.36125409;-81.36125581;-81.36131626;-81.36137326;-81.36138208;-81.36140765;-81.36139291;-81.36139002;-81.36138548;-81.36141837;-81.36146961;-81.3616307;-81.36163666;-81.36175153;-81.36189064;-81.36190155;-81.36190514;-81.36188311;-81.36187938;-81.36188101;-81.36190495;-81.36191317;-81.36195977;-81.36201098;-81.36209515; ;;
-81.36217561;-81.36218288;-81.36246124;-81.36257478;-81.36263978;-81.36276889;-81.36299292;-81.36307346;-81.36307613;-81.36313564;-81.36315753;-81.36312952;-81.36312822;-81.36311709;-81.36305834;-81.36306194;-81.36319731;-81.36321193;-81.36321919;-81.36318616;-81.36315316;-81.36304689;-81.3628747;-81.36283441;-81.36277093;-81.36274456;-81.36273695; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-81.36273885;-81.36274456;-81.36275698;-81.36275788;-81.36277692;-81.36279451;-81.36285548;-81.36295918;-81.36300796;-81.36297124;-81.36287963;-81.3627758;-81.36271164;-81.36267799;-81.36268102;-81.36267791;-81.3626626;-81.36265645;-81.36263199;-81.3626289;-81.36262274;-81.36262266;-81.36262551;-81.36262829;-81.36263638;-81.36263571;-81.36259388; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-81.3625524;-81.36252902;-81.36251129;-81.36249953;-81.36248593;-81.36248297;-81.36248068;-81.36248253;-81.36248385;-81.36248415;-81.36249033;-81.3624789;-81.36246748;-81.36244606;-81.36242512;-81.36240894;-81.36239562;-81.36237944;-81.36235326;-81.36234089;-81.36232899;-81.36232899;-81.36231662;-81.36229473;-81.36228283;-81.36226142;-81.36223953; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-81.36222525;-81.36220621;-81.36219622;-81.36218194;-81.36217005;-81.36215291;-81.36212722;-81.36211632;-81.36209854;-81.36209723;-81.36207963;-81.36206703;-81.36203569;-81.36203374;-81.36174464;-81.36174351;-81.3617381;-81.36170888;-81.36170348;-81.36164281;-81.36161948;-81.36163914;-81.36166847;-81.36174587;-81.3618722;-81.36194074;-81.36201905; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-81.36204056;-81.36210306;-81.36212457;-81.36203472;-81.3620739;-81.36207399;-81.36204487;-81.36201187;-81.36197103;-81.36192239;-81.36185495;-81.36185165;-81.36201652;-81.36235678;-81.36253048;-81.36262328;-81.36276129;-81.36275891;-81.36261614;-81.36248884;-81.36236154;-81.36217356;-81.36205102;-81.36195346;-81.36187494;-81.36183757;-81.36183667; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-81.3616875;-81.36156571;-81.36152774;-81.36139366;-81.36118903;-81.3611884;-81.36118522;-81.36129397;-81.36132037;-81.36136511;-81.36140794;-81.36143078;-81.36145553;-81.36146314;-81.36147171;-81.36148408;-81.36151263;-81.36154023;-81.3615745;-81.36156117;-81.36151358;-81.36147171;-81.36145172;-81.3614422;-81.36143459;-81.36143173;-81.36142126; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-81.36139556;-81.36136701;-81.36131086;-81.36126993;-81.36123662;-81.36120045;-81.36117951;-81.36114715;-81.36105115;-81.36084216;-81.36080052;-81.36077316;-81.36077078;-81.36077435;-81.36081361;-81.36102776;-81.36109558;-81.361117;-81.36118973;-81.3611901;-81.36121023;13.36592037;13.36603517;13.36603893;13.3661715;13.36631694;13.36633946; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
